epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
         1,   69.491,     0.01,          0.86921,          0.38625,           86.921,         0.23,        0.233,        0.231,        0.154,          0.85282,         0.018687,           85.282,        0.227,        0.231,        0.229,       0.0339
         2,  129.927,     0.01,          0.85512,         0.015579,           85.512,        0.228,        0.231,        0.229,       0.0309,           0.8506,         0.029716,            85.06,        0.227,        0.231,        0.229,       0.0427
         3,  190.354,     0.01,           0.8537,         0.035503,            85.37,        0.228,         0.23,        0.229,       0.0467,          0.85012,         0.041771,           85.012,        0.227,        0.231,        0.229,       0.0507
         4,  250.534,     0.01,          0.85335,         0.041147,           85.335,        0.228,         0.23,        0.229,       0.0503,          0.84995,         0.039378,           84.995,        0.227,         0.23,        0.229,       0.0492
         5,  310.704,     0.01,          0.85319,         0.041089,           85.319,        0.228,         0.23,        0.229,       0.0502,          0.84944,         0.048732,           84.944,        0.227,         0.23,        0.228,       0.0547
         6,  371.194,     0.01,          0.85272,         0.046513,           85.272,        0.228,         0.23,        0.229,       0.0535,          0.84932,         0.055545,           84.932,        0.227,         0.23,        0.228,       0.0584
         7,  431.453,     0.01,          0.85246,         0.053506,           85.246,        0.227,         0.23,        0.229,       0.0573,          0.84914,         0.065666,           84.914,        0.227,         0.23,        0.228,       0.0635
         8,  491.179,     0.01,          0.85226,          0.05053,           85.226,        0.227,         0.23,        0.229,       0.0557,           0.8491,         0.049127,            84.91,        0.227,         0.23,        0.228,       0.0549
         9,  551.528,     0.01,          0.85184,         0.050732,           85.184,        0.227,         0.23,        0.229,       0.0558,          0.84887,         0.057941,           84.887,        0.226,         0.23,        0.228,       0.0597
        10,  611.447,     0.01,          0.85192,         0.051012,           85.192,        0.227,         0.23,        0.229,        0.056,          0.84875,         0.059162,           84.875,        0.226,         0.23,        0.228,       0.0603
        11,  671.847,     0.01,          0.85161,           0.0574,           85.161,        0.227,         0.23,        0.229,       0.0594,          0.84871,         0.047675,           84.871,        0.226,         0.23,        0.228,       0.0541
        12,  732.227,     0.01,          0.85176,         0.065258,           85.176,        0.227,         0.23,        0.229,       0.0633,          0.84892,         0.068526,           84.892,        0.226,         0.23,        0.228,       0.0649
        13,  792.427,     0.01,          0.85164,          0.07772,           85.164,        0.227,         0.23,        0.229,       0.0691,          0.84872,         0.075125,           84.872,        0.226,         0.23,        0.228,       0.0679
        14,  852.590,     0.01,          0.85136,         0.079918,           85.136,        0.227,         0.23,        0.229,       0.0701,          0.84856,         0.096441,           84.856,        0.226,         0.23,        0.228,        0.077
        15,  912.686,     0.01,          0.85121,         0.093496,            85.12,        0.227,         0.23,        0.229,       0.0758,          0.84839,          0.10623,           84.839,        0.226,         0.23,        0.228,       0.0808
        16,  972.914,     0.01,          0.85098,         0.096584,           85.098,        0.227,         0.23,        0.229,        0.077,          0.84859,          0.10204,           84.859,        0.226,         0.23,        0.228,       0.0792
        17, 1033.244,     0.01,          0.85111,          0.10539,           85.111,        0.227,         0.23,        0.229,       0.0805,          0.84843,         0.084698,           84.843,        0.226,         0.23,        0.228,       0.0721
        18, 1093.702,     0.01,          0.85099,         0.088873,           85.098,        0.227,         0.23,        0.229,       0.0739,          0.84854,         0.081667,           84.854,        0.226,         0.23,        0.228,       0.0708
        19, 1153.997,     0.01,          0.85084,         0.094321,           85.084,        0.227,         0.23,        0.229,       0.0761,          0.84808,          0.10054,           84.808,        0.226,         0.23,        0.228,       0.0786
        20, 1214.356,     0.01,          0.85073,         0.094565,           85.073,        0.227,         0.23,        0.229,       0.0762,          0.84799,         0.098401,           84.799,        0.226,         0.23,        0.228,       0.0778
        21, 1274.476,     0.01,           0.8507,          0.10413,            85.07,        0.227,         0.23,        0.229,         0.08,          0.84816,          0.10002,           84.816,        0.226,         0.23,        0.228,       0.0784
        22, 1334.917,     0.01,          0.85045,         0.095456,           85.045,        0.227,         0.23,        0.229,       0.0766,          0.84799,          0.10518,           84.799,        0.226,         0.23,        0.228,       0.0804
        23, 1395.027,     0.01,          0.85043,          0.10489,           85.043,        0.227,         0.23,        0.229,       0.0803,          0.84802,          0.11401,           84.802,        0.226,         0.23,        0.228,       0.0837
        24, 1455.491,     0.01,          0.85038,          0.11029,           85.038,        0.227,         0.23,        0.229,       0.0823,          0.84779,          0.10932,           84.779,        0.226,         0.23,        0.228,        0.082
        25, 1515.823,     0.01,          0.85034,          0.11806,           85.033,        0.227,         0.23,        0.229,       0.0852,          0.84798,          0.12265,           84.798,        0.226,         0.23,        0.228,       0.0868
        26, 1576.103,     0.01,          0.85016,          0.11337,           85.016,        0.227,         0.23,        0.229,       0.0835,          0.84786,          0.10572,           84.787,        0.226,         0.23,        0.228,       0.0806
