epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
         1,   28.991,     0.01,          0.15374,          0.22977,           15.604,        0.477,        0.342,        0.164,        0.168,        0.288,        0.386,         0.033714,       1.4377e-05,           3.3714,        0.181,        0.133,        0.134,        0.138,        0.147,      0.00299
         2,   48.223,     0.01,         0.023691,       0.00018676,           2.3693,        0.149,        0.113,        0.117,        0.114,        0.123,        0.011,         0.018118,       6.1195e-05,           1.8118,        0.128,       0.0978,        0.107,          0.1,        0.108,      0.00631
         3,   67.491,     0.01,         0.014632,       0.00023416,           1.4634,        0.114,       0.0893,       0.0955,       0.0883,       0.0969,       0.0123,         0.012345,        0.0001079,           1.2346,        0.104,        0.081,       0.0926,       0.0799,       0.0894,      0.00835
         4,   86.742,     0.01,         0.010508,       0.00019099,            1.051,       0.0981,       0.0766,       0.0804,       0.0729,        0.082,       0.0111,        0.0091119,       7.1401e-05,          0.91126,       0.0905,       0.0698,       0.0785,        0.068,       0.0767,       0.0068
         5,  106.021,     0.01,        0.0076162,       0.00012233,          0.76174,       0.0867,       0.0676,       0.0629,        0.061,       0.0696,       0.0089,        0.0065877,       3.8742e-05,          0.65881,       0.0794,       0.0612,       0.0619,       0.0574,        0.065,        0.005
         6,  125.227,     0.01,        0.0059775,       0.00020119,          0.59795,       0.0787,       0.0612,       0.0526,        0.053,       0.0614,       0.0114,        0.0051177,       4.2247e-05,          0.51181,       0.0708,       0.0543,       0.0522,       0.0509,       0.0571,      0.00523
         7,  144.474,     0.01,        0.0047042,        0.0001252,          0.47055,       0.0695,       0.0533,       0.0478,       0.0475,       0.0545,      0.00902,        0.0043084,       4.2464e-05,          0.43088,       0.0653,       0.0495,       0.0474,       0.0471,       0.0523,      0.00523
         8,  163.759,     0.01,        0.0042536,       0.00010379,          0.42546,       0.0667,       0.0502,       0.0448,       0.0454,       0.0518,      0.00821,        0.0037965,       2.7959e-05,          0.37968,       0.0614,        0.046,       0.0445,       0.0444,       0.0491,      0.00424
         9,  182.983,     0.01,        0.0038153,       6.7731e-05,           0.3816,       0.0629,       0.0472,       0.0425,       0.0437,       0.0491,      0.00663,        0.0034123,       2.5145e-05,          0.34126,       0.0581,       0.0432,       0.0424,       0.0423,       0.0465,      0.00402
        10,  202.218,     0.01,        0.0038374,       0.00010195,          0.38384,       0.0643,       0.0481,       0.0415,       0.0424,       0.0491,      0.00813,        0.0031149,       3.0726e-05,          0.31153,       0.0555,       0.0409,        0.041,       0.0404,       0.0444,      0.00444
        11,  221.438,     0.01,        0.0032768,       4.9264e-05,          0.32773,        0.058,       0.0426,       0.0399,       0.0416,       0.0455,      0.00566,        0.0028813,       1.4629e-05,          0.28815,       0.0532,       0.0391,       0.0398,       0.0389,       0.0428,      0.00306
        12,  240.667,     0.01,        0.0031839,       5.1218e-05,          0.31844,       0.0581,        0.043,       0.0387,       0.0392,       0.0448,      0.00577,        0.0026817,       1.5857e-05,          0.26819,       0.0512,       0.0374,       0.0389,       0.0375,       0.0413,      0.00318
        13,  259.883,     0.01,        0.0027568,       3.7165e-05,          0.27571,       0.0531,        0.039,        0.037,        0.038,       0.0418,       0.0049,        0.0025134,       7.6259e-06,          0.25135,       0.0495,        0.036,       0.0381,       0.0362,         0.04,       0.0022
        14,  279.101,     0.01,        0.0026777,       5.1381e-05,          0.26782,        0.052,       0.0377,       0.0375,       0.0376,       0.0412,      0.00578,        0.0023651,       7.4632e-06,          0.23652,       0.0479,       0.0347,       0.0374,        0.035,       0.0388,      0.00218
        15,  298.353,     0.01,        0.0028698,        8.377e-05,          0.28707,       0.0555,       0.0403,       0.0366,       0.0376,       0.0425,      0.00738,        0.0022498,       1.1563e-05,          0.22499,       0.0467,       0.0337,       0.0367,        0.034,       0.0378,      0.00272
        16,  317.557,     0.01,        0.0025355,       4.2478e-05,          0.25359,       0.0514,       0.0373,       0.0356,       0.0359,         0.04,      0.00525,         0.002149,       6.7908e-06,          0.21491,       0.0457,       0.0328,        0.036,       0.0332,       0.0369,      0.00208
        17,  336.741,     0.01,        0.0022861,       4.2646e-05,          0.22865,       0.0479,       0.0348,        0.035,       0.0346,       0.0381,      0.00526,        0.0020525,       5.1237e-06,          0.20525,       0.0446,       0.0319,       0.0354,       0.0323,       0.0361,       0.0018
        18,  355.974,     0.01,        0.0024358,       5.3807e-05,          0.24363,       0.0504,       0.0362,       0.0349,       0.0354,       0.0392,      0.00591,        0.0019705,       3.5043e-06,          0.19706,       0.0437,       0.0312,       0.0349,       0.0315,       0.0353,      0.00149
        19,  375.193,     0.01,        0.0021811,       3.6416e-05,          0.21815,       0.0476,       0.0343,       0.0336,       0.0331,       0.0371,      0.00486,        0.0018976,       3.1177e-06,          0.18976,       0.0429,       0.0305,       0.0343,       0.0309,       0.0347,       0.0014
        20,  394.426,     0.01,        0.0020974,       2.5561e-05,          0.20977,       0.0464,       0.0333,       0.0333,       0.0327,       0.0364,      0.00406,        0.0018288,       1.8102e-06,          0.18288,        0.042,       0.0299,       0.0337,       0.0303,        0.034,      0.00106
        21,  413.672,     0.01,        0.0021435,       5.1237e-05,           0.2144,       0.0468,       0.0337,       0.0332,       0.0337,       0.0368,      0.00576,        0.0017635,       3.5822e-06,          0.17636,       0.0413,       0.0293,       0.0332,       0.0297,       0.0334,       0.0015
        22,  432.858,     0.01,        0.0021498,       4.6973e-05,          0.21502,       0.0478,       0.0346,       0.0324,       0.0324,       0.0368,       0.0055,        0.0017156,       4.4554e-06,          0.17156,       0.0407,       0.0289,       0.0327,       0.0294,       0.0329,      0.00168
        23,  452.085,     0.01,         0.002059,       5.1227e-05,          0.20595,       0.0465,       0.0333,       0.0325,       0.0319,        0.036,      0.00577,        0.0016684,       9.9466e-07,          0.16684,       0.0401,       0.0284,       0.0324,        0.029,       0.0325,     0.000781
        24,  471.328,     0.01,        0.0019454,       3.9891e-05,          0.19458,       0.0452,       0.0324,       0.0313,       0.0312,        0.035,      0.00509,        0.0016223,       2.6363e-06,          0.16224,       0.0395,        0.028,        0.032,       0.0286,        0.032,      0.00129
        25,  490.538,     0.01,        0.0018738,       2.7137e-05,           0.1874,        0.044,       0.0315,       0.0315,       0.0307,       0.0344,       0.0042,         0.001581,       1.4575e-06,           0.1581,       0.0389,       0.0276,       0.0316,       0.0283,       0.0316,     0.000952
        26,  509.806,     0.01,         0.001805,       3.3233e-05,          0.18053,       0.0431,       0.0311,       0.0308,       0.0301,       0.0338,      0.00464,        0.0015413,       1.6223e-06,          0.15413,       0.0384,       0.0272,       0.0312,        0.028,       0.0312,      0.00101
        27,  529.011,     0.01,        0.0017493,       1.3557e-05,          0.17494,       0.0427,       0.0307,       0.0302,       0.0294,       0.0332,      0.00297,        0.0015034,       9.6409e-07,          0.15034,       0.0379,       0.0268,       0.0308,       0.0277,       0.0308,      0.00077
        28,  548.198,     0.01,        0.0018488,       2.7598e-05,           0.1849,       0.0443,        0.032,       0.0303,       0.0299,       0.0341,      0.00424,        0.0014673,       1.2194e-06,          0.14674,       0.0374,       0.0265,       0.0305,       0.0274,       0.0304,     0.000865
        29,  567.430,     0.01,          0.00175,        2.434e-05,          0.17503,       0.0428,       0.0312,       0.0295,       0.0295,       0.0332,      0.00398,        0.0014361,       9.4399e-07,          0.14361,        0.037,       0.0262,       0.0302,       0.0272,       0.0301,     0.000762
        30,  586.697,     0.01,        0.0016119,       2.0586e-05,          0.16121,       0.0406,       0.0293,       0.0292,       0.0287,        0.032,      0.00366,        0.0014017,       5.5132e-07,          0.14018,       0.0365,       0.0258,       0.0298,       0.0269,       0.0298,     0.000578
