epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
         1,  204.535,     0.01,          0.98443,         0.018102,           98.462,         0.35,        0.249,        0.299,       0.0412,          0.98151,         0.015673,           98.167,        0.349,        0.249,        0.299,       0.0383
         2,  400.627,     0.01,          0.98351,         0.017633,           98.368,         0.35,        0.249,        0.299,       0.0406,          0.98141,         0.015693,           98.157,        0.349,        0.249,        0.299,       0.0383
         3,  596.972,     0.01,          0.98337,         0.017517,           98.354,         0.35,        0.249,        0.299,       0.0405,          0.98138,         0.015742,           98.153,        0.349,        0.249,        0.299,       0.0384
         4,  792.810,     0.01,          0.98327,         0.017531,           98.344,         0.35,        0.249,        0.299,       0.0405,          0.98138,         0.015768,           98.153,        0.349,        0.249,        0.299,       0.0384
         5,  988.555,     0.01,           0.9832,         0.017552,           98.338,         0.35,        0.249,        0.299,       0.0405,          0.98119,         0.015743,           98.135,        0.349,        0.249,        0.299,       0.0384
         6, 1183.831,     0.01,          0.98311,         0.017427,           98.329,         0.35,        0.249,        0.299,       0.0404,          0.98116,         0.015713,           98.132,        0.349,        0.249,        0.299,       0.0384
         7, 1378.751,     0.01,          0.98308,         0.017367,           98.326,         0.35,        0.249,        0.299,       0.0403,          0.98116,         0.015653,           98.131,        0.349,        0.249,        0.299,       0.0383
         8, 1572.606,     0.01,          0.98304,         0.017344,           98.321,         0.35,        0.249,        0.299,       0.0403,          0.98114,         0.015665,            98.13,        0.349,        0.249,        0.299,       0.0383
         9, 1766.379,     0.01,          0.98302,          0.01736,           98.319,         0.35,        0.249,        0.299,       0.0403,          0.98112,         0.015672,           98.127,        0.349,        0.249,        0.299,       0.0383
        10, 1960.403,     0.01,          0.98298,         0.017363,           98.316,         0.35,        0.249,        0.299,       0.0403,          0.98106,         0.015688,           98.122,        0.349,        0.249,        0.299,       0.0383
        11, 2155.277,     0.01,          0.98295,          0.01737,           98.313,         0.35,        0.249,        0.299,       0.0403,           0.9811,         0.015703,           98.126,        0.349,        0.249,        0.299,       0.0384
        12, 2349.954,     0.01,          0.98292,          0.01734,            98.31,         0.35,        0.249,        0.299,       0.0403,          0.98111,         0.015663,           98.126,        0.349,        0.249,        0.299,       0.0383
        13, 2545.063,     0.01,          0.98294,         0.017329,           98.311,         0.35,        0.249,        0.299,       0.0403,          0.98107,         0.015671,           98.122,        0.349,        0.249,        0.299,       0.0383
        14, 2740.695,     0.01,          0.98288,         0.017319,           98.305,         0.35,        0.249,        0.299,       0.0403,          0.98103,         0.015687,           98.119,        0.349,        0.249,        0.299,       0.0383
        15, 2936.534,     0.01,          0.98285,           0.0173,           98.302,         0.35,        0.249,        0.299,       0.0403,          0.98105,          0.01566,           98.121,        0.349,        0.249,        0.299,       0.0383
        16, 3132.157,     0.01,          0.98285,         0.017343,           98.303,         0.35,        0.249,        0.299,       0.0403,           0.9811,         0.015643,           98.125,        0.349,        0.249,        0.299,       0.0383
        17, 3328.192,    0.005,          0.98268,         0.017273,           98.285,         0.35,        0.249,        0.299,       0.0402,          0.98103,         0.015644,           98.119,        0.349,        0.249,        0.299,       0.0383
        18, 3523.323,    0.005,          0.98263,          0.01728,           98.281,         0.35,        0.249,        0.299,       0.0402,          0.98099,         0.015676,           98.114,        0.349,        0.249,        0.299,       0.0383
        19, 3718.874,    0.005,          0.98263,         0.017276,           98.281,         0.35,        0.249,        0.299,       0.0402,          0.98099,         0.015682,           98.114,        0.349,        0.249,        0.299,       0.0383
        20, 3914.978,    0.005,          0.98263,         0.017284,            98.28,         0.35,        0.249,        0.299,       0.0402,          0.98101,         0.015656,           98.117,        0.349,        0.249,        0.299,       0.0383
        21, 4111.090,    0.005,          0.98261,         0.017275,           98.278,         0.35,        0.249,        0.299,       0.0402,            0.981,         0.015684,           98.116,        0.349,        0.249,        0.299,       0.0383
        22, 4306.311,    0.005,           0.9826,         0.017285,           98.277,         0.35,        0.249,        0.299,       0.0402,          0.98101,         0.015665,           98.116,        0.349,        0.249,        0.299,       0.0383
        23, 4502.021,   0.0025,          0.98249,         0.017248,           98.266,         0.35,        0.249,        0.299,       0.0402,          0.98098,         0.015661,           98.113,        0.349,        0.249,        0.299,       0.0383
        24, 4697.683,   0.0025,          0.98248,         0.017242,           98.265,        0.349,        0.249,        0.299,       0.0402,          0.98096,         0.015727,           98.112,        0.349,        0.249,        0.299,       0.0384
        25, 4892.298,   0.0025,          0.98247,         0.017233,           98.265,        0.349,        0.249,        0.299,       0.0402,          0.98095,         0.015727,           98.111,        0.349,        0.249,        0.299,       0.0384
        26, 5087.308,   0.0025,          0.98246,         0.017246,           98.264,         0.35,        0.249,        0.299,       0.0402,          0.98095,         0.015686,           98.111,        0.349,        0.249,        0.299,       0.0383
        27, 5282.637,   0.0025,          0.98247,         0.017265,           98.264,        0.349,        0.249,        0.299,       0.0402,          0.98097,         0.015641,           98.112,        0.349,        0.249,        0.299,       0.0383
        28, 5478.472,   0.0025,          0.98246,         0.017246,           98.264,        0.349,        0.249,        0.299,       0.0402,          0.98094,         0.015657,            98.11,        0.349,        0.249,        0.299,       0.0383
        29, 5674.591,   0.0025,          0.98246,         0.017241,           98.264,        0.349,        0.249,        0.299,       0.0402,          0.98093,         0.015874,           98.109,        0.349,        0.249,        0.299,       0.0386
        30, 5870.239,   0.0025,          0.98245,         0.017254,           98.263,        0.349,        0.249,        0.299,       0.0402,          0.98092,          0.01568,           98.108,        0.349,        0.249,        0.299,       0.0383
        31, 6065.372,  0.00125,          0.98239,         0.017235,           98.256,        0.349,        0.249,        0.299,       0.0402,          0.98096,         0.015674,           98.112,        0.349,        0.249,        0.299,       0.0383
        32, 6261.065,  0.00125,          0.98239,         0.017235,           98.256,        0.349,        0.249,        0.299,       0.0402,          0.98095,         0.015692,           98.111,        0.349,        0.249,        0.299,       0.0383
        33, 6454.649,  0.00125,          0.98238,         0.017235,           98.255,        0.349,        0.249,        0.299,       0.0402,          0.98092,         0.015711,           98.107,        0.349,        0.249,        0.299,       0.0384
        34, 6648.846,  0.00125,          0.98238,         0.017237,           98.255,        0.349,        0.249,        0.299,       0.0402,          0.98092,         0.015697,           98.108,        0.349,        0.249,        0.299,       0.0383
        35, 6843.159,  0.00125,          0.98238,         0.017228,           98.255,        0.349,        0.249,        0.299,       0.0402,          0.98093,         0.015672,           98.109,        0.349,        0.249,        0.299,       0.0383
        36, 7039.269,  0.00125,          0.98238,         0.017227,           98.255,        0.349,        0.249,        0.299,       0.0402,          0.98093,         0.015733,           98.109,        0.349,        0.249,        0.299,       0.0384
        37, 7235.605, 0.000625,          0.98234,         0.017223,           98.251,        0.349,        0.249,        0.299,       0.0402,          0.98091,         0.015665,           98.106,        0.349,        0.249,        0.299,       0.0383
        38, 7431.817, 0.000625,          0.98234,         0.017226,           98.251,        0.349,        0.249,        0.299,       0.0402,           0.9809,         0.015694,           98.106,        0.349,        0.249,        0.299,       0.0383
