epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
         1,   32.305,     0.01,          0.18305,          0.21258,           18.517,        0.518,        0.368,         0.23,         0.17,        0.321,        0.375,         0.034773,       0.00012739,           3.4775,        0.184,        0.138,        0.143,        0.141,        0.152,       0.0091
         2,   51.049,     0.01,         0.022837,        0.0001966,           2.2839,        0.147,         0.11,         0.12,        0.111,        0.122,       0.0114,         0.016924,       7.0469e-05,           1.6925,        0.128,       0.0948,        0.107,       0.0958,        0.106,      0.00686
         3,   69.747,     0.01,         0.013069,       0.00023135,           1.3071,        0.112,       0.0852,       0.0855,       0.0859,       0.0923,       0.0124,         0.010747,       0.00011595,           1.0749,        0.105,       0.0781,       0.0769,       0.0788,       0.0846,      0.00877
         4,   88.443,     0.01,        0.0094809,       0.00019282,          0.94828,       0.0966,       0.0739,       0.0694,        0.074,       0.0785,       0.0113,        0.0081918,       7.7573e-05,          0.81926,       0.0913,        0.068,       0.0658,       0.0699,       0.0737,      0.00717
         5,  107.098,     0.01,        0.0073069,       0.00014167,          0.73084,       0.0846,       0.0642,       0.0611,       0.0657,       0.0689,      0.00969,        0.0066541,       6.4593e-05,          0.66548,       0.0821,       0.0611,       0.0588,       0.0636,       0.0664,      0.00655
         6,  125.703,     0.01,        0.0062583,       0.00014099,          0.62597,       0.0788,       0.0601,       0.0561,         0.06,       0.0637,      0.00967,        0.0055804,       6.9519e-05,          0.55811,       0.0749,       0.0558,       0.0537,       0.0586,       0.0607,      0.00679
         7,  144.266,     0.01,        0.0053213,       0.00018285,          0.53231,       0.0729,        0.056,       0.0512,       0.0549,       0.0588,        0.011,        0.0047394,       6.4991e-05,          0.47401,       0.0688,       0.0514,       0.0495,       0.0541,       0.0559,      0.00657
         8,  162.878,     0.01,        0.0043946,       9.6189e-05,          0.43956,       0.0661,       0.0508,       0.0478,        0.049,       0.0534,      0.00798,        0.0040716,        2.653e-05,          0.40719,       0.0634,       0.0477,       0.0462,         0.05,       0.0519,      0.00421
         9,  181.444,     0.01,        0.0040529,       8.3612e-05,          0.40538,       0.0637,       0.0491,       0.0453,       0.0469,       0.0513,      0.00744,        0.0036084,       2.4975e-05,          0.36086,       0.0595,        0.045,       0.0438,        0.047,       0.0488,      0.00409
        10,  200.074,     0.01,        0.0035984,       5.7549e-05,           0.3599,         0.06,       0.0461,       0.0431,        0.044,       0.0483,      0.00618,        0.0032563,       2.2992e-05,          0.32565,       0.0564,       0.0428,       0.0417,       0.0446,       0.0464,      0.00392
        11,  218.686,     0.01,        0.0031931,       4.8915e-05,          0.31936,       0.0558,       0.0427,       0.0413,       0.0425,       0.0456,      0.00569,        0.0029856,       1.6366e-05,          0.29858,        0.054,       0.0409,       0.0402,       0.0426,       0.0444,      0.00332
        12,  237.268,     0.01,        0.0031548,       4.8732e-05,          0.31553,       0.0566,        0.043,       0.0406,       0.0406,       0.0452,      0.00568,        0.0027646,       1.1596e-05,          0.27647,       0.0519,       0.0393,       0.0388,        0.041,       0.0427,      0.00279
        13,  255.899,     0.01,        0.0029671,       3.6908e-05,          0.29675,       0.0545,       0.0412,       0.0391,       0.0406,       0.0439,      0.00495,         0.002587,       1.0246e-05,          0.25871,       0.0502,       0.0379,       0.0376,       0.0397,       0.0413,      0.00263
        14,  274.454,     0.01,        0.0027227,        3.924e-05,          0.27231,       0.0521,       0.0393,        0.038,       0.0388,        0.042,      0.00509,        0.0024197,       9.9137e-06,          0.24198,       0.0485,       0.0366,       0.0365,       0.0383,         0.04,      0.00258
        15,  293.043,     0.01,        0.0026712,       4.5456e-05,          0.26716,       0.0524,       0.0394,       0.0364,        0.038,       0.0415,      0.00548,        0.0022742,       9.2722e-06,          0.22743,        0.047,       0.0354,       0.0355,       0.0371,       0.0387,       0.0025
        16,  311.643,     0.01,        0.0025392,        5.167e-05,          0.25397,       0.0513,       0.0383,        0.035,       0.0373,       0.0405,      0.00585,        0.0021438,       6.7433e-06,          0.21439,       0.0457,       0.0344,       0.0345,       0.0359,       0.0376,      0.00213
