epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
         1,   25.886,     0.01,          0.22052,          0.22903,           22.281,         0.56,        0.395,        0.248,        0.175,        0.344,        0.382,         0.041048,        0.0026244,           4.1074,        0.204,        0.155,        0.158,        0.134,        0.163,       0.0403
         2,   41.152,     0.01,         0.030813,       0.00029419,           3.0816,        0.167,        0.123,        0.143,        0.121,        0.139,       0.0136,         0.021552,       8.5329e-05,           2.1553,        0.141,        0.104,        0.128,        0.108,         0.12,      0.00737
         3,   56.411,     0.01,         0.018317,       0.00025798,            1.832,        0.128,       0.0968,        0.107,        0.096,        0.107,       0.0128,         0.014174,       0.00010259,           1.4175,        0.114,       0.0865,       0.0959,       0.0902,       0.0967,      0.00828
         4,   71.639,     0.01,         0.012982,        0.0001876,           1.2984,         0.11,       0.0837,       0.0814,       0.0845,       0.0899,       0.0109,         0.010615,       4.8262e-05,           1.0616,       0.0994,       0.0758,       0.0773,       0.0805,       0.0832,      0.00564
         5,   86.915,     0.01,         0.010146,       0.00016803,           1.0148,       0.0979,       0.0737,       0.0705,       0.0757,       0.0794,       0.0103,        0.0084931,        3.145e-05,          0.84934,       0.0897,       0.0683,       0.0674,       0.0727,       0.0745,      0.00449
         6,  102.195,     0.01,         0.009329,       0.00028984,          0.93319,       0.0941,       0.0723,       0.0645,       0.0735,       0.0761,       0.0136,        0.0070897,       0.00010362,          0.70907,       0.0825,        0.063,        0.061,       0.0664,       0.0682,      0.00811
         7,  117.500,     0.01,        0.0071293,        0.0001768,          0.71311,       0.0837,       0.0634,       0.0573,       0.0614,       0.0665,       0.0106,        0.0060195,       5.9218e-05,          0.60201,       0.0762,       0.0585,       0.0564,       0.0608,        0.063,      0.00611
         8,  132.732,     0.01,         0.006058,       0.00011272,          0.60591,       0.0782,       0.0604,       0.0524,       0.0534,       0.0611,      0.00846,        0.0051592,       4.3489e-05,          0.51597,       0.0704,       0.0544,       0.0526,       0.0551,       0.0581,      0.00523
         9,  148.024,     0.01,        0.0053596,       0.00012151,          0.53608,       0.0739,       0.0572,       0.0491,       0.0495,       0.0574,      0.00879,         0.004553,       3.3992e-05,          0.45534,       0.0658,       0.0511,       0.0499,       0.0509,       0.0544,      0.00459
        10,  163.291,     0.01,        0.0054487,       0.00024055,          0.54511,       0.0759,        0.059,       0.0471,       0.0485,       0.0576,       0.0124,        0.0041387,       4.1835e-05,          0.41391,       0.0625,       0.0484,       0.0476,       0.0481,       0.0517,       0.0051
        11,  178.516,     0.01,        0.0046446,       0.00013348,          0.46459,       0.0697,       0.0534,       0.0447,       0.0456,       0.0533,      0.00921,        0.0038365,       2.2918e-05,          0.38367,       0.0601,       0.0464,       0.0458,        0.046,       0.0496,      0.00374
        12,  193.777,     0.01,        0.0040057,       7.9771e-05,          0.40065,       0.0634,       0.0479,       0.0434,       0.0441,       0.0497,      0.00712,        0.0035513,       2.1393e-05,          0.35515,       0.0576,       0.0443,        0.044,       0.0445,       0.0476,      0.00364
        13,  209.039,     0.01,        0.0037458,       9.8574e-05,          0.37467,       0.0614,       0.0468,       0.0415,       0.0425,       0.0481,      0.00791,        0.0033113,        1.913e-05,          0.33115,       0.0556,       0.0425,       0.0424,        0.043,       0.0459,      0.00344
        14,  224.286,     0.01,         0.003595,         6.22e-05,          0.35956,       0.0601,       0.0456,       0.0408,       0.0416,        0.047,      0.00612,         0.003113,         1.63e-05,          0.31132,       0.0538,       0.0409,        0.041,       0.0418,       0.0444,      0.00317
